idiom_word,idiom_meaning
কৃষ্ণপ্রাপ্তি,মৃত্যু
কৃষ্ণের জীব,অসহায়
কেঁচে গণ্ডুষ,নতুন করে আরম্ভ
কেঁচে যাওয়া,আয়োজন পণ্ড
কেঁচো,হীনব্যক্তি
কেঁচো খুঁড়তে সাপ,সামান্য থেকে অসামান্য
কেঁচো দিয়ে কাৎলা ধরা,অল্পচেষ্টায় বিরাট
কেঁদে কঁকিয়ে,কাতর অনুনয়
কেঁদে বাঁচা,কোনমতে অব্যাহতি
কেউ-কেউ,কোন কোন
কেউ-না-কেউ,অনির্দিষ্ট একজন
কেউকেটা,নগণ্য ব্যক্তি
কেউটে ধরা,বিপজ্জনক কাজ
কেচ্ছা,কুৎসা
কেটে পড়া,পলায়ন
কেঠো,রুক্ষ
কেতাদুরস্ত,পরিপাটি
কেতাব-কীট,অক্লান্ত পাঠক
কেতাবি,পুঁথিগত বিদ্যা
কেনাকাটা,ক্রয়
কেনারাম,পরিশ্রমে সম্পত্তি অর্জন
কেবলমাত্র,একমাত্র
কেয়াবাত,প্রশংসার আড়ালে নিন্দা
কেয়ামত,মহাপ্রলয়
কেয়ার করা,গ্রাহ্য করা
কেরদানি,কৌশল
কেলে কার্তিক,কালো কদাকার
কেলে মানিক,কালো সুন্দর ছেলে
কেলে বামুনের নাম গৌরাঙ্গসুন্দর,নিরর্থক নামকরণ
কেলোর কীর্তি,গোলমেলে ব্যাপার
কেল্লা ফতে,কার্যসিদ্ধ
কেশাগ্র স্পর্শ করতে না পারা,ধরাছোঁয়ার বাইরে
কেষ্টবিষ্টু,নগণ্য লোক
কেষ্টভজা,বৈষ্ণব
কেষ্টলীলা,অবৈধসম্পর্ক
কেশস্পর্শ,ন্যূনতম ক্ষতি
কেস,মামলা
কৈমাছের প্রাণ,কড়া জান
কৈফিয়ৎ,আত্মপক্ষ সমর্থন
কোঁচা দুলিয়ে বেড়ানো,বাবুগিরি
কোকিলা বউ,সন্তান অক্ষম নারী
কোজাগর,কে জাগর
কোটনা,বিবাদ সৃষ্টিকারী
কোণঘেঁষা,লাজুকপ্রকৃতি
কোণঠাসা,উপেক্ষিত
কোণঠাসা করা,জব্দ করা
কোথায় আগরতলা কোথায় চৌকিরতলা,উত্তম অধমের তুলনা
কোথায় রাজাভোজ কোথায় গঙ্গুতেলি,উত্তম অধমের তুলনা
কোথায় রাণী ভবানী কোথায় ফুলি মেছুনী,উত্তম অধমের তুলনা
কোথায় হরিদ্বার কোথায় গুহ্যদ্বার,উত্তম অধমের তুলনা
কোদাল দিয়ে দাড়ি চাঁচা,অসম্ভব প্রয়াস
কোনমতে,কোন উপায়ে
কোন মুখে,কোন লজ্জায়
কোমর বাঁধা,দৃঢ়সঙ্কল্প
কোমর ভাঙা,নিরুদ্যম
কোমরের জোর,সামর্থ্য
কোম্পানীর আমল,ইংরাজী রাজত্বের সূত্রপাত
কোয়াক,অশিক্ষিত
কোয়াক ডাক্তার,হাতুড়ে ডাক্তার
কোরা কাগজ,নিস্কলঙ্ক চরিত্র
কোরাস,সমবেত ধ্বনি
কোর্টশিপ,পূর্বরাগ
কোল-আঁচল,শাড়ীর প্রান্ত
কোল-আঁচলে গিঁট,মঙ্গলকামনায় গেরো
কোল আলো করা ছেলে,সুন্দর ফুটফুটে ছেলে
কোলকুঁজো,কোমর বাঁকা
কোলজুড়ানো,মায়ের মন জুড়ায়
কোলজোড়া হয়ে থাকা,চিরজীবী
কোলটানা ছ,স্বার্থান্বেষী
কোলপাতলা,কিছুটা দূরে
কোলপোঁছা,কনিষ্টপুত্র
কোলে পিঠে মানুষ,যত্নে প্রতিপালিত
কোলের ছেলে,কনিষ্টপুত্র
কোস্তাকুস্তি,লড়ালড়ি
কোহিনূর,মহার্ঘবস্তু
ক্যাঁকক্যাঁক করা,কর্কশ রাগ
ক্যাঁচরম্যাচর,একত্র চিৎকার
ক্যাঁটক্যাঁটে,কর্কশ
ক্যাডার,কর্মীবৃন্দ
ক্যাবলাকান্ত,বোকা
ক্যাবলা হাকিম,অনভিজ্ঞ বিচারক
ক্যারা,খ্যাপামি
ক্যালমা,ক্ষমতা
ক্যালানো,পেটানো
ক্যাসেট উলটানো,প্রসঙ্গ পরিবর্তন
ক্যাসেট বাজা,অবিরাম কথা
ক্রন্দসী,রোরুদ্যমানা
ক্রিয়াকর্ম,অনুষ্টান
ক্রিয়াকলাপ,আচার-ব্যবহার
ক্রীড়নক,নির্দেশে চলা
ক্রোড়পতি,বিত্তশালী
ক্রোড়পত্র,গ্রন্থখণ্ড
ক্রোধবহ্নি,প্রচণ্ড রাগ
ক্রোধান্ধ,জ্ঞানশূন্য
ক্লিশে,জীর্ণ
ক্লীব,কাপুরুষ
ক্ষণজন্মা,পূণ্যবান
ক্ষণপ্রভা,বিদ্যুৎ
ক্ষণভঙ্গুর,অল্পকালের মধ্যে নষ্ট হয়
ক্ষমতার চিটেগুড়,ক্ষমতার লোভ
ক্ষমাঘেন্না করা,দোষ মার্জনা
ক্ষীণকটি,সরু কোমরযুক্তা
ক্ষুণ্ণিবৃত্তি,ক্ষুধার উপশম
ক্ষুরধার বুদ্ধি,তীক্ষ্ণ বুদ্ধি
ক্ষুরে ক্ষুরে দণ্ডবৎ,পরোক্ষে অপরকে পশু বলে প্রার্থনা
ক্ষেত বুঝে পাঠ,দেশকাল বুঝে কাজ
খই ঢেকুর,চোঁয়া ঢেকুর
খই ফোটা,অনর্গল কথা
খই ভাজা,অকিঞ্চিৎকর কাজ
খইয়ের বন্ধন,উভয়সংকট
খগাবগা,বিশৃঙ্খল
খচখচ,অস্বস্তি
খচখচানি,তর্কবিতর্ক
খচমচ,কর্কশ শব্দ
খচা,রাগিয়ে দেওয়া
খচে বোম,রেগে আগুন
খচ্চর,দুর্বৃত্ত
খচ্চর তিলে,হাড়ে বদমাইশ
খঞ্জন-নয়ন,চটুল নয়ন
খটখটানো,কড়া নাড়া
খটখটে,শুকনো
খটখটে বাতাস,শুষ্ক বাতাস
খটখটে রোদ,প্রখর রৌদ্র
খটমট,কঠিন
খটাখটি,ঝগড়াঝাটি
খটাশ,গন্ধযুক্ত জন্তু
খড়কুটো ধরে বাঁচা,তুচ্ছ সাহায্য নেওয়া
খড়খড়ে,শুকনো
খড়মপেয়ে,খড়মপায়ে
খড়মপায়ে গঙ্গাপার,অসাধ্যসাধন
খড়ের আগুন,ক্ষণস্থায়ী
খড়ের গাদায় ছুঁচ খোঁজা,অসাধ্য কাজ
খড়্গহস্ত,মারমুখি
খণ্ডকপাল,দুর্ভাগ্য
খণ্ডপ্রলয়,তুমুল ঝগড়া
খণ্ডযুদ্ধ,বাদানুবাদ
খণ্ডাখণ্ডি,প্রবাল মারামারি
খতম,শেষ
খতম করা,সমাপ্ত করা
খতম পড়া,কোরআন পাঠ
খতরনক,বিপজ্জনক
খতানো,হিসাবনিকাশ
খনখনে,কর্কশ আওয়াজ
খনি,রত্নের আকর
খপ করে,হঠাৎ
খপ্পর,কবল
খবর করা,খোঁজ নেওয়া
খবরগিরি,তত্ত্বাবধান
খবরদারি,নজরদারি
খবর-নয়-খবর,খবর না থাকাটাই খবর
খবর নেওয়া,খোঁজ নেওয়া
খবর রাখা,অবগত থাকা
খবর হওয়া,জানাজানি হওয়া
খবরাখবর,সংবাদ
খবিশ,শয়তান
খয়রাত,দান
খয়ের খাঁ,তোষামুদে
খয়েরখাঁই,চাটুকারিতা
খরখরে,চঞ্চল
খরচপত্র,আনুসঙ্গিক ব্যয়
খরচিয়া,অমিতব্যয়ী
খরচের খাতায়,ক্ষতি বলে ধরা
খলখলে,নড়বড়ে
খলবলানি,চাঞ্চল্য
খলিফা,শ্রেষ্ঠ
খলের ছলের অভাব হয় না,দুষ্টের উপায়ের অভাব নেই
খসখস,দ্রুতলেখার শব্দ
খসা,খরচ হওয়া
খসানো,খরচ করানো
খাঁ-খাঁ,শূন্যতা
খাঁই,লালসা
খাঁই খাঁই করা,তীব্র আকাঙ্খা
খাই-খালাসি,ঋণ পরিশোধ
খাইয়ে,পেটুক
খাওয়া-দাওয়া,খাওয়ানো
খাওয়াপরা,ভরণপোষণ
খাক,ছাই
খাজা,কাঁচা
খাঞ্জা খাঁ,নবাবীচালে চলা
খাটাখাটি,পরিশ্রম
খাটাল,নোংরা স্থান
খাটিয়ে,খাটতে পারে
খাটো কথা,সামান্য কথা
খাটো করা,অপদস্থ করা
খাটো কাপড়,অভাবের লক্ষণ
খাটো গলা,মৃদু গলা
খাটো দৃষ্টি,কৃপণতা
খাটো লোক,বেঁটে
খাটো হওয়া,অপমানিত
খাট্টা,বিরক্ত
খাট্টামিঠা,ঝাঁঝালো কিন্তু মিষ্টি
খাড়া দজ্জাল,অত্যাচারী
খাড়া-বড়ি-থোড়,একঘেয়েমি
খাণ্ডবদাহন,অগ্নিকাণ্ড
খাতাকলমে,সরকারীভাবে
খাতা খোলা,প্রাপ্তি শুরু
খাতাপত্র,হিসাবপত্র
খাতা লেখা,জমাখরচের হিসাব
খাতায় নাম লেখানো,বদসঙ্গের সদস্য
খাতির জমা,মানসিক প্রশান্তি
খাতির নদারৎ,অনুকম্পাহীন
খাদের কিনারে,চরমসঙ্কট
খাদ্যাখাদ্য,খাওয়া উচিত-অনুচিত
খানকতক,কয়েকটি
খানকি,গণিকা
খানখান,টুকরা টুকরা
খানদান,আভিজাত্য
খানাখন্দ,গর্ত
খানা তল্লাশ,ঘরে অনুসন্ধান
খানাপিনা,খাওয়া-দাওয়া
খাণ্ডার,কলহপ্রিয়
খাপ খাওয়ানো,সামঞ্জস্য রক্ষা
খাপ খাওয়া,মানানসই
খাপ খোলা,জাহির করা
খাপ-খোলা তলোয়ার,প্রস্তুত সাহসী
খাপছাড়া,অসংলগ্ন
খাপ পাতা,আক্রমণের প্রতীক্ষা
খাপ্পা,ক্রুদ্ধ
খাবলা,একমুষ্টি
খাবার আগে শোবার চিন্তা,অতিসতর্কতা
খাবি খাওয়া,হাঁসফাঁস করা
খামকা,অকারণে
খামখেয়াল,হঠাৎ কাজ
খামতি,ঘাটতি
খামোশ,চুপ কর
খারিজ,বাতিল
খাল কেটে কুমির আনা,নিজের বিপদ ডেকে আনা
খাল খিঁচা,প্রহার করা
খালাস,মুক্তি
খালিখালি,অকারণ
খালিজুলি,সরু নালা
খাস আপীল,আপীলের উপর আপীল
খাসকামরা,নিজস্ব কামরা
খাসজমি,সরকারের জমি
খাসতালুক,নিজের সম্পত্তি
খাসতালুকের প্রজা,অনুগত ব্যক্তি
খাসনবিশ,ব্যক্তিগত কর্মচারী
খাসমহল,নিজ আবাস
খাসি,আহাম্মক
খাস্তা,নষ্ট
খিঁচ,সামান্য ত্রুটি
খিঁচে নেওয়া,বলপূর্বক আদায়
খিচখিচ,খিটিমিটি
খিচ মারা,নিঃশেষে সম্পন্ন
খিচুড়ি,বিশৃঙ্খলা
খিচুড়ি পাকানো,জটিল করে তোলা
খিটকাল,ঝঞ্ঝাট
খিটখিট করা,মৃদু আপত্তি
খিটখিটে,শুচিবাইগ্রস্ত
খিটিমিটি,তুচ্ছ কলহ
খিদমত,দাসত্ব
খিলাফ,প্রতিশ্রুতি ভঙ্গ
খিস্তি,গালাগালি
খুঁচানো,তাগাদা দেওয়া
খুঁচিয়ে ঘা করা,অপ্রিয় অবস্থার সৃষ্টি
খুঁট আখরিয়া,অল্পশিক্ষিত
খুঁটির জোর,পৃষ্ঠপোষকের সহায়তা
খুঁটুরমুটুর,মৃদু খুটখুটি
খুঁটে খাওয়া,স্বাবলম্বী
খুঁতখুঁত করা,অসন্তোষ প্রকাশ
খুঁতখুঁতে,সন্দেহপ্রবণ
খুচখাচ,তুচ্ছ ব্যাপার
খুচরা,অল্প পরিমাণ
খুচরা কথা,অবান্তর কথা
খুচরা কাজ,ছোটখাটো কাজ
খুচরা বাজার,অল্প কেনাবেচা
খুটুরমুটুর,মৃদু খুটখুটি
খুড়োর কল,মিথ্যা আশা
খুদকুঁড়ো,সামান্য আহার
খুদে বার্তা,SMS
খুদে শয়তান,দেখতে ছোট শয়তান
খুন হওয়া,আকুল হওয়া
খুনসুটি,প্রণয়কলহ
খুনখারাপি,রক্তারক্তি
খুনি,নিষ্ঠুর
খুপরি,মাথার খুলি
খুপরি ফাঁপরা,নির্বোধ
খুপসুরৎ,অতি সুন্দর
খুলে বলা,সত্যকথা বলা
খুল্লমখুল্লা,প্রকাশ্যভাবে
খুরেখুরে দণ্ডবৎ,পশু বলে প্রার্থনা
খুশখবর,সুসংবাদ
খুশবু,সুগন্ধ
খুশি,মর্জি
খেঁক খেঁক করা,ক্রোধ প্রকাশ
খেঁকি,অসহিষ্ণু
খেঁকি কুকুর,অত্যন্ত ক্রোধপরবশ
খেঁচাখিঁচি,মনোমালিন্য
খেঁচে হাওয়া,টানা দৌড়
খেই,কথার ধারা
খেউড়,অশ্রাব্য গালি
খেজুরে আলাপ,অবান্তর কথা
খেটেখুটে,পরিশ্রমে
খেদ,আক্ষেপ
খেদমত,আদর
খেমটা নাচ,কুৎসিত অঙ্গভঙ্গি
খেয়ালখুশি,ইচ্ছামত
খেয়ে দেয়ে একাদশী,আঁচাতে অনীহা
খেয়ে ফেলা,ব্যতিব্যস্ত করা
খেয়োখেয়ি,ঝগড়াবিবাদ
খেরোর খাতা,বাজে হিসাব
খেল,চালাকি
খেলাঘর,কৃত্রিম সংসার
খেলাধুলা,ক্রীড়াকৌতুক
খেলানো,ইচ্ছামত পরিচালনা
খেলাপ,বিরূপ আচরণ
খেলোয়াড়,ধূর্ত
খোঁচ,সামান্য ত্রুটি
খোঁচা মারা,কটাক্ষপূর্ণ আলোচনা
খোঁজখবর,সংবাদ
খোঁজাখুঁজি,বারংবার খোঁজ
খোঁটা দেওয়া,ত্রুটির ইঙ্গিত
খোঁড়াখুঁড়ি,বারংবার খনন
খোয়াব,মিথ্যা আশা
খোরপোশ,অন্নবস্ত্র
খোরাক,খাদ্যদ্রব্য
খোরাকি,খাইখরচ
খোলতাই,সুবিকশিত
খোলনলচে বদল,আমূল পরিবর্তন
খোলস,ছদ্ম আবরণ
খোলস ছাড়া,স্বমূর্তি ধারণ
খোলসা,অকপট
খোলা,অকপট
খোলা আকাশ,আছাদন নেই
খোলাখুলি,প্রকাশ্য
খোলা দলিল,স্পষ্ট প্রমাণ
খোলাবাজার,বৈধ বাজার
খোলামকুচি,তুচ্ছ বস্তু
খোলা বাতাস,অবারিত হাওয়া
খোলা মন,অকপট মন
খোলামেলা,অকপট
খোশকবালা,স্বত্ব হস্তান্তরের দলিল
খোশখবর,সুসংবাদ
খোশখেয়াল,ইচ্ছা
খোশগল্প,হালকা গল্প
খোশনবিশ,হাতের লেখা সুন্দর
খোশমেজাজ,প্রীতিকর মন
খোসা পুরু,লজ্জাশূন্য
খ্যাঁকখ্যাঁক,কর্কশ বিরক্তি
খ্যাঁচড়া,অসম্পূর্ণ
খ্যাঁচাখেঁচি,কলহ
খ্যাঁট,আহার
খ্যাঁদা বোঁচা নাক কান কাটা,নির্লজ্জ
খ্যাপলা জালে মাছ ধরা,ধান্ধায় থাকা
খ্যামটা নাচ,হীন লঘুনৃত্য
গঁদের গঁদ,দূর কুটুম্বের কুটুম্ব
গকুলের ষাঁড়,স্বেচ্ছাচারী পুরুষ
গগনচারী,কল্পনাবিলাসী
গগনচুম্বী,অতি উচ্চ
গগনাম্বু,বৃষ্টির জল
গঙ্গাজল,নির্মল পবিত্র জল
গঙ্গাজলি,হাতে গঙ্গাজল নিয়ে শপথ
গঙ্গাজলে গঙ্গাপূজা,পরের ওপর দিয়ে চলা
গঙ্গাজলে বিসর্জন দেওয়া,সম্পূর্ণ পরিত্যাগ
গঙ্গাদিকে পা,মৃত্যু আসন্ন
গঙ্গাপুত্র,শবদাহকারী
গঙ্গাপ্রাপ্তি,মৃত্যু
গঙ্গা-যমুনা,দুই ভিন্ন বর্ণের সহ-অবস্থান
গঙ্গা-যমুনা গাঁথনি,কাদা সুরকির গাঁথা
গঙ্গাযাত্রা,মুমূর্ষুকে গঙ্গাতীরে যাওয়া
গঙ্গাযাত্রী,মুমূর্ষু
গঙ্গারাম,আনাড়ী
গচ্চা,লোকসান
গজকচ্ছপ,প্রবল প্রতিদ্বন্দ্বী
গজগামিনী,মন্দ গমনভঙ্গী
গজকপালে,ভাগ্যবান
গজগজ,বিরক্তি
গজগিরি,প্রকাণ্ড
গজচক্ষু,বেমানান চোখ
গজদন্ত,উঁচুদাঁত
গজদন্তমিনার,কল্পিত সুখের স্থান
গজব,প্রচণ্ড ক্রোধ
গজভুক্তকপিত্থবৎ,অন্তঃসারশূন্য
গজমুক্তা,কল্পিত মুক্তা
গজরগজর,বিরক্তি
গজস্কন্ধ,স্থূলস্কন্ধ
গজেন্দ্রগমন,মন্দ সুন্দর চলা
গঞ্জিকাসেবী,গাঁজাখোর
গটগট,ক্রোধের পদক্ষেপ
গড্ডলিকা,অগ্রগামিনী ভেড়ি
গড়গড়,অবলীলাক্রমে
গড়বড়,অব্যবস্থা
গড়া কথা,বানানো কথা
গড়াগড়ি,প্রাচুর্য
গড়ানো,একটু ঘুমানো
গড়াপেটা,পছন্দমতো আকৃতি
গড়িমসি,আলস্য
গড়ের মাঠ,শূন্য
গণদেবতা,জনসাধারণরূপ দেবতা
গণপিটুনি,এলোপাতাড়ি প্রহার
গণশক্তি,জনশক্তি
গণশত্রু,জনশত্রু
গণাগুণতি,ঠিকঠাক
গণাগোষ্ঠী,আত্মীয়পরিজন
গণেশ উলটানো,গুটানো
গণেশের কান,প্রার্থনা শোনার ক্ষমতা
গণ্ডকূপ,গালের টোল
গণ্ডগোল,কোলাহল
গণ্ডগ্রাম,জনবহুল গ্রাম
গণ্ডদেশ,গাল
গণ্ডমূর্খ,মহামূর্খ
গণ্ডা,পাওনা
গণ্ডাগণ্ডা,বহুলপরিমাণ
গণ্ডায় এণ্ডায়,গোলমালে ফাঁকি
গণ্ডারচর্ম,লজ্জাশূন্য
গণ্ডী,সীমা
গঁদের গঁদ,দূর কুটুম্বের কুটুম্ব
গকুলের ষাঁড়,স্বেচ্ছাচারী পুরুষ
গগনচারী,কল্পনাবিলাসী
গগনচুম্বী,অতি উচ্চ
গগনাম্বু,বৃষ্টির জল
গঙ্গাজল,নির্মল পবিত্র জল
গঙ্গাজলি,হাতে গঙ্গাজল নিয়ে শপথ
গঙ্গাজলে গঙ্গাপূজা,পরের ওপর দিয়ে চলা
গঙ্গাজলে বিসর্জন দেওয়া,সম্পূর্ণ পরিত্যাগ
গঙ্গাদিকে পা,মৃত্যু আসন্ন
গঙ্গাপুত্র,শবদাহকারী
গঙ্গাপ্রাপ্তি,মৃত্যু
গঙ্গা-যমুনা,দুই ভিন্ন বর্ণের সহ-অবস্থান
গঙ্গা-যমুনা গাঁথনি,কাদা সুরকির গাঁথা
গঙ্গাযাত্রা,মুমূর্ষুকে গঙ্গাতীরে যাওয়া
গঙ্গাযাত্রী,মুমূর্ষু
গঙ্গারাম,আনাড়ী
গচ্চা,লোকসান
গজকচ্ছপ,প্রবল প্রতিদ্বন্দ্বী
গজগামিনী,মন্থর গমনভঙ্গী
গজকপালে,প্রশস্ত ললাট
গজকপালিয়া,ভাগ্যবান
গজগজ,অসন্তোষ
গজগিরি,সুবিশাল
গজচক্ষু,ঈষৎ বাঁকা এবং দেহের তুলনায় ছোট বেমানান চোখ
গজদন্ত,উঁচুদাঁত
গজদন্তমিনার,কল্পিত সুখের স্থান
গজদন্তমিনারবাসী,কল্পনাবিলাসী
গজব,আল্লার মার
গজভুক্তকপিত্থবৎ,অন্তঃসারশূন্য অবস্থা
গজমুক্তা,কল্পিত মুক্তা
গজরগজর,বিরক্তিসূচক স্বগোক্তি
গজস্কন্ধ,স্থূলস্কন্ধযুক্ত ব্যক্তি
গজেন্দ্রগমন,মন্দছন্দে সুন্দর চলা
গঞ্জিকাসেবী,গাঁজাখোর
গটগট,ক্রোধ ও দম্ভের সাথে চলা পদক্ষেপের কাল্পনিক শব্দ
গড্ডলিকা,অগ্রগামিনী ভেড়ির অনুসরণকারী ভেড়ার পাল
গড্ডলিকা প্রবাহ,অন্ধ অনুকরণ
গড়গড়,অবলীলাক্রমে
গড়বড়,অব্যবস্থা
গড়া কথা,অসত্য
গড়াগড়ি,প্রাচুর্যসূচক
গড়ানো,মাটিতে লুটানো
গড়াপেটা,অসৎ উপায়ে ফল পরিবর্তন
গড়িমসি,আলস্য
গড়ের মাঠ,শূন্য
গণদেবতা,জনসাধারণরূপ দেবতা
গণপিটুনি,সকলের এলোপাতাড়ি প্রহার
গণশক্তি,জনসাধারণের ঐক্যবদ্ধ শক্তি
গণশত্রু,জনসাধারণের শত্রু
গণাগুণতি,একেবারে ঠিকঠিক
গণাগোষ্ঠী,আত্মীয়পরিজনসমূহ
গণেশ উলটানো,কারবার গুটানো
গণেশের কান,প্রার্থীর প্রার্থনা শোনার ক্ষমতা
গণ্ডকূপ,গালের টোল
গণ্ডগোল,বিশৃঙ্খলা
গণ্ডগ্রাম,অজগ্রাম
গণ্ডদেশ,কপোল
গণ্ডমূর্খ,মহামূর্খ
গণ্ডা,পাওনা অর্থ
গণ্ডাগণ্ডা,বহুসংখ্যক
গণ্ডায় এণ্ডায়,গোলমালের সুযোগে ফাঁকি দিয়ে
গণ্ডারচর্ম,নির্লজ্জ
গণ্ডী,সীমাসূচক পরিসর
গণ্ডূষ,হাতের কোষে অত্যল্প পরিমাণ
গণ্ডূষ করা,মন্ত্রপাঠ করে হাতের কোষে জল পান করা
গণ্ডূষ জল দেওয়া,পিতৃপুরুষের তর্পণ করা
গণ্ডূষ জলে সফরীর ফরফরানি,অল্পবিদ্যার অধিকারীর বিদ্যা জাহির
গণ্ডে-পিণ্ডে গেলা,অপরিমিত আহার
গতর,স্বাস্থ্য
গতরখাকী,অত্যন্ত অলস
গতর খাটানো,পরিশ্রম করা
গতর নাড়ানো,কাজে নিযুক্ত থাকা
গতরজমা,আলসেমি
গতর পোষা,কুঁড়েমি করা
গতর লাগা,মোটাসোটা হওয়া
গতরে পোকা ধরা,অকর্মণ্য হওয়া
গতরের মাথা খাওয়া,নিস্কর্মা হওয়া
গতশোচনা,অতীতের জন্য অনুতাপ
গতি করা,উপায় ব্যবস্থা করা
গতিক,উপায়
গতিপ্রকৃতি,চালচলন
গতুয়া,অলস
গতুরে,কর্মঠ
গত্যন্তর,অন্য উপায়
গদগদ,আবেগজনিত বিহ্বলতা
গদাইলস্কর,মন্থরগতিসম্পন্ন অলস
গদাইলস্করী চাল,কার্যে আলসেমী
গদি,ক্ষমতার উচ্চপদ
গন্ধমাদন,অপ্রয়োজনীয় বস্তুসমূহ
গন্ধর্ব ছোটানো,প্রহারে বেসুরে চিৎকার
গন্ধর্ব পূজা,আদর করে প্রহারে বিদায়
গন্ধেগন্ধে,সূত্র অনুসরণ করে
গন্ধে টের পাওয়া,অনুমানে জানা
গণ্যমান্য,সম্ভ্রান্ত
গবা,গোমূর্খ
গভীরজলের মাছ,ধূর্ত চাপাস্বভাবের লোক
গমগম,গম্ভীর শব্দব্যঞ্জক
গয়ংগচ্ছ,আলসেমি
গয়বি চাল,আড়াল থেকে চালা চাল
গয়সাল,মুসলমান ধর্মালম্বী হিন্দু
গয়াংগচ্ছ,মৃত্যু
গয়ার পাপ,বিরক্তিকর অপরিহার্য বিষয়
গয়ারাম,দলবদলে সদস্য
গরগর,ক্রোধের ধ্বন্যাত্মক
গরজ,প্রয়োজনের দায়
গরজ বড় বালাই,স্বার্থের তাগিদ
গরম কাপড়,শীতের পশমিপোশাক
গরম খবর,টাটকা খবর
গরমগরম,সদ্য-ভাজা
গরম গরম কথা,কটুবাক্য
গরম পানীয়,অ্যালকোহলযুক্ত পানীয়
গরম মেজাজ,ত্রুদ্ধ মেজাজ
গরমিল,হিসাবের ভুল
গরিবখানা,আপনগৃহের বিনয়সূচক উল্লেখ
গরিব-গুরবো,বিত্তহীন সম্প্রদায়
গরীবের ঘোড়ারোগ,সামর্থের বাইরে প্রত্যাশা
গরু,আকাট মুর্খ
গরু খোঁজা,তন্নতন্ন করে খোঁজা
গরু চোর,ভীতসন্ত্রস্ত ব্যক্তি
গরুড়শয়ন,দীর্ঘনিদ্রা
গরু মেরে জুতা দান,বিরাট ক্ষতির অল্প ক্ষতিপূরণ
গরুর ঝাল খেয়ে বেড়ানো,ভয়চকিত অবস্থা
গর্তের সাপ খুঁচিয়ে বার করা,অনাবশ্যক ঝামেলা ডেকে আনা
গর্দভ,মহামূর্খ
গর্দভরাগিণী,বিকট বেসুরা চিৎকার
গর্ভযন্ত্রণা,দীর্ঘকালীন উৎকণ্ঠা
গর্ভস্রাব,অপদার্থ
গরমি,ক্রোধ
গলগ্রহ,অকারণে অন্যের বোঝা
গলদ,দোষ
গলদঘর্ম,ক্লান্ত ও ঘর্মাক্ত
গলদা,স্থূল
গলবন্ধ,মাফলার
গলবস্ত্র,অতি বিনীতভাব
গলা ওঠা,স্বর উঁচু
গলা করে বলা,মুক্তকণ্ঠে বলা
গলা কাটা,ভীষণ প্রবঞ্চনা
গলাকাটা,দস্যু
গলাকাটা দর,অস্বাভাবিক দাম
গলাগলি,অত্যন্ত ঘনিষ্ঠতা
গলা চাপা,স্বর নীচু
গলা চেপে ধরা,পীড়ন করা
গলা ছাড়া,স্বর উচ্চে
গলা জল,গভীর সঙ্কট
গলা টিপলে দুধ বেরোয়,অজ্ঞ
গলা ঠাণ্ডা করা,মদ খাওয়া
গলা ধরা,স্বর বন্ধ
গলাধাক্কা,অপমান করে বিদায়
গলাফুলো পায়রা,অহঙ্কারী
গলা বসা,স্বর অস্পষ্ট
গলা বাঁচানো,প্রাণ বাঁচানো
গলাবাজী,চিৎকার
গলা ভাঙা,স্বরবিকৃতি
গলা ভারী,গম্ভীর স্বর
গলা সাধা,রেওয়াজ করা
গলাধঃকরণ,খাওয়া
গলায় আঁকশি দেওয়া,কাজে টেনে আনা
গলায় আঙুল দেওয়া,জোর করে পাওনা আদায়
গলায় কাপড়,অতি দারিদ্র্য
গলায় গলায়,প্রগাঢ়
গলায় গলায় পিরিত,প্রগাঢ় প্রীতি
গলায় গাঁথা,অনভিপ্রেত বোঝা
গলায় গামছা দেওয়া,প্রচণ্ড অপমান
গলায় ছুরি দেওয়া,প্রবঞ্চনা
গলায় দড়ি,মৃত্যু কামনা
গলায় পড়া,গলগ্রহ হওয়া
গলায় পা দেওয়া,উৎপীড়ন
গলায় লাগা,গিলতে কষ্ট
গলার কাঁটা,বোঝা
গলার জোর,উচ্চস্বর
গলার নিচে যাওয়া,উদরপূর্তি
গলিঘুঁজি,সঙ্কীর্ণ রাস্তা
গলে জল,রাগ চলে যাওয়া
গল্পগুজব,হালকা আলাপ
গল্প শেষ,কথা সমাপ্ত
গল্পের ভুশুড়ি ভাঙা,ক্রমাগত গল্প
গসগস,ক্রোধসূচক
গস্ত,ঘুরে কেনা
গহনাগাঁটি,অলংকারসমূহ
গহনার নৌকা,বহুযাত্রী নৌকা
গাঁ নেই তার সীমানা,নেই বস্তুর খোঁজ অর্থহীন
গাঁ বড় তার মাঝের পাড়া,অন্যায় দাবী
গাঁইগুঁই,অসম্মতিসূচক
গাঁইগোত্র,কুলপরিচয়
গাঁ-গাঁ,উত্কট চিৎকার
গাঁইয়া,অশিক্ষিত
গাঁক-গাঁক,চিৎকার করে কথা
গাঁজা খাওয়া,অলীক কথা
গাঁজাখুরি,অবিশ্বাস্য কল্পনা
গাঁট,কোমরের টাকা
গাঁটকাটা,পকেটমার
গাঁটগচ্চা,অযথা খরচ
গাঁটছড়া,জোটবন্ধন
গাঁটে গাঁটে বুদ্ধি,মহা ধুরন্ধর
গাঁটের কড়ি,স্বোপার্জিত অর্থ
গাঁট্টাগোঁট্টা,সুগঠিত
